fecha,venta,
2011-08-19,"$4,00",
2011-08-20,"$4,00",
2011-08-21,"$4,00",
2011-08-22,"$4,00",
2011-08-23,"$4,00",
2011-08-24,"$4,00",
2011-08-25,"$4,00",
2011-08-26,"$4,00",
2011-08-27,"$4,00",
2011-08-28,"$4,00",
2011-08-29,"$4,00",
2011-08-30,"$4,00",
2011-08-31,"$4,00",
2011-09-01,"$4,00",
2011-09-02,"$4,00",
2011-09-03,"$4,00",
2011-09-04,"$4,00",
2011-09-05,"$4,00",
2011-09-06,"$4,00",
2011-09-07,"$4,00",
2011-09-08,"$4,00",
2011-09-09,"$4,00",
2011-09-10,"$4,00",
2011-09-11,"$4,00",
2011-09-12,"$4,00",
2011-09-13,"$4,00",
2011-09-14,"$4,00",
2011-09-15,"$4,00",
2011-09-16,"$4,00",
2011-09-17,"$4,00",
2011-09-18,"$4,00",
2011-09-19,"$4,00",
2011-09-20,"$4,00",
2011-09-21,"$4,00",
2011-09-22,"$4,00",
2011-09-23,"$4,00",
2011-09-24,"$4,00",
2011-09-25,"$4,00",
2011-09-26,"$4,00",
2011-09-27,"$4,00",
2011-09-28,"$4,00",
2011-09-29,"$4,00",
2011-09-30,"$4,00",
2011-10-01,"$4,00",
2011-10-02,"$4,00",
2011-10-03,"$4,00",
2011-10-04,"$4,00",
2011-10-05,"$4,00",
2011-10-06,"$4,00",
2011-10-07,"$4,00",
2011-10-08,"$4,00",
2011-10-09,"$4,00",
2011-10-10,"$4,00",
2011-10-11,"$4,00",
2011-10-12,"$4,00",
2011-10-13,"$4,00",
2011-10-14,"$4,00",
2011-10-15,"$4,00",
2011-10-16,"$4,00",
2011-10-17,"$4,00",
2011-10-18,"$4,00",
2011-10-19,"$4,00",
2011-10-20,"$4,00",
2011-10-21,"$4,00",
2011-10-22,"$4,00",
2011-10-23,"$4,00",
2011-10-24,"$4,00",
2011-10-25,"$4,00",
2011-10-26,"$4,00",
2011-10-27,"$4,00",
2011-10-28,"$4,00",
2011-10-29,"$4,00",
2011-10-30,"$4,00",
2011-10-31,"$4,00",
2011-11-01,"$4,00",
2011-11-02,"$4,00",
2011-11-03,"$4,00",
2011-11-04,"$4,00",
2011-11-05,"$4,00",
2011-11-06,"$4,00",
2011-11-07,"$4,00",
2011-11-08,"$4,00",
2011-11-09,"$4,00",
2011-11-10,"$4,00",
2011-11-11,"$4,00",
2011-11-12,"$4,00",
2011-11-13,"$4,00",
2011-11-14,"$4,00",
2011-11-15,"$4,00",
2011-11-16,"$4,00",
2011-11-17,"$4,00",
2011-11-18,"$4,00",
2011-11-19,"$4,00",
2011-11-20,"$4,00",
2011-11-21,"$4,00",
2011-11-22,"$4,00",
2011-11-23,"$4,00",
2011-11-24,"$4,00",
2011-11-25,"$4,00",
2011-11-26,"$4,00",
2011-11-27,"$4,00",
2011-11-28,"$4,00",
2011-11-29,"$4,00",
2011-11-30,"$4,00",
2011-12-01,"$4,00",
2011-12-02,"$4,00",
2011-12-03,"$4,00",
2011-12-04,"$4,00",
2011-12-05,"$4,00",
2011-12-06,"$4,00",
2011-12-07,"$4,00",
2011-12-08,"$4,00",
2011-12-09,"$4,00",
2011-12-10,"$4,00",
2011-12-11,"$4,00",
2011-12-12,"$4,00",
2011-12-13,"$4,00",
2011-12-14,"$4,00",
2011-12-15,"$4,00",
2011-12-16,"$4,00",
2011-12-17,"$4,00",
2011-12-18,"$4,00",
2011-12-19,"$4,00",
2011-12-20,"$4,00",
2011-12-21,"$4,00",
2011-12-22,"$4,00",
2011-12-23,"$4,00",
2011-12-24,"$4,00",
2011-12-25,"$4,00",
2011-12-26,"$4,00",
2011-12-27,"$4,00",
2011-12-28,"$4,00",
2011-12-29,"$4,00",
2011-12-30,"$4,00",
2011-12-31,"$4,00",
2012-01-01,"$4,00",
2012-01-02,"$4,00",
2012-01-03,"$4,00",
2012-01-04,"$4,00",
2012-01-05,"$4,00",
2012-01-06,"$4,00",
2012-01-07,"$4,00",
2012-01-08,"$4,00",
2012-01-09,"$4,00",
2012-01-10,"$4,00",
2012-01-11,"$4,00",
2012-01-12,"$4,00",
2012-01-13,"$4,00",
2012-01-14,"$4,00",
2012-01-15,"$4,00",
2012-01-16,"$4,00",
2012-01-17,"$4,00",
2012-01-18,"$4,00",
2012-01-19,"$4,00",
2012-01-20,"$4,00",
2012-01-21,"$4,00",
2012-01-22,"$4,00",
2012-01-23,"$4,00",
2012-01-24,"$4,00",
2012-01-25,"$4,00",
2012-01-26,"$4,00",
2012-01-27,"$4,00",
2012-01-28,"$4,00",
2012-01-29,"$4,00",
2012-01-30,"$4,00",
2012-01-31,"$4,00",
2012-02-01,"$4,00",
2012-02-02,"$4,00",
2012-02-03,"$4,00",
2012-02-04,"$4,00",
2012-02-05,"$4,00",
2012-02-06,"$4,00",
2012-02-07,"$4,00",
2012-02-08,"$4,00",
2012-02-09,"$4,00",
2012-02-10,"$4,00",
2012-02-11,"$4,00",
2012-02-12,"$4,00",
2012-02-13,"$4,00",
2012-02-14,"$4,00",
2012-02-15,"$4,00",
